WARN  - 2017-04-29 17:45:47.898; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.SortableFloatField]. Please consult documentation how to replace it accordingly.
WARN  - 2017-04-29 17:45:47.901; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.SortableDoubleField]. Please consult documentation how to replace it accordingly.
INFO  - 2017-04-29 17:45:47.973; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2017-04-29 17:45:47.974; org.apache.solr.schema.IndexSchema; query parser default operator is AND
INFO  - 2017-04-29 17:45:47.975; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2017-04-29 17:45:48.067; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-04-29 17:45:48.072; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/, dataDir=/home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/data/
INFO  - 2017-04-29 17:45:48.074; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2017-04-29 17:45:48.079; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-04-29 17:45:48.080; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-04-29 17:45:48.094; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/data
INFO  - 2017-04-29 17:45:48.094; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/data/index/
WARN  - 2017-04-29 17:45:48.095; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2017-04-29 17:45:48.110; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/scurrae/Desktop/mall/solr-4.7.2/example/solr/collection1/data/index
INFO  - 2017-04-29 17:45:48.270; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
